plant,treatment,day,Pyruvic acid methyl ester,Tween 40,Tween 80,Alpha-cyclodextrin,Glycogen,D-Cellobiose,alpha-D-Lactose,Beta-Methyl-D-Glucoside,D-Xylose,I-Erythritol,D-Mannitol,N-Acetyl-D-Glucosamine,D-Glucosaminic acid,Glucose-1-phosphate,"D,L-alpha-glycerol phosphate",D-Galactonic acid gamma-Lactone,D-Galacturonic acid,2-Hydroxy benzoic acid,4-Hydroxy benzoic acid,gamma-Hydroxybutyric acid,Itaconic acid,alpha-Ketobutyric acid,D-Malic acid,L-Arginine,L-Asparagine,L-Phenylalanine,L-Serine,L-Threonine,Glycyl-L-glutamic acid,Phenylethylamine,Putrescine
38,CommA,1,0.533,0.733,0.986,0.095,0.03,0.363,0.648,0.85,0.541,0.228,0.579,1.156,0.297,0.386,0.382,0.16,2.334,-0.082,0.26,0.369,0.441,0.24,0.955,0.194,0.73,0.121,0.846,0.442,0.329,0.242,0.298
43,CommA,1,0.436,0.648,1.034,0.201,0.029,0.304,0.64,1.129,0.5,0.265,0.537,1.5,0.31,0.395,0.519,0.261,1.693,-0.07,0.298,0.531,0.538,0.006,0.288,0.218,0.776,0.159,0.431,0.288,0.255,0.301,0.307
5,CommB,55,1.888,1.639,1.566,0.566,1.521,1.267,0.996,2.525,0.643,0.725,0.897,2.476,0.648,0.637,1.34,0.616,2.122,0.023,0.894,1.156,1.145,0.139,1.192,1.104,1.488,0.597,1.117,0.883,0.709,0.818,1.029
7,CommB,55,0.593,0.66,0.508,0.481,0.264,0.437,0.379,1.187,0.493,0.207,0.554,1.557,0.293,0.37,0.64,0.406,0.877,-0.015,0.691,0.511,0.372,0.116,0.943,0.279,0.737,0.226,0.439,0.166,0.358,0.339,0.256
18,CommB,55,0.975,0.308,0.439,0.063,0.155,1.194,0.468,2.138,0.817,0.38,0.745,2.221,0.302,0.36,0.837,1.699,1.813,-0.011,0.262,0.451,0.235,0.02,0.932,0.236,0.661,0.105,0.252,0.153,0.252,0.323,0.487
22,CommB,55,0.992,0.714,1.122,0.405,0.641,1.472,0.822,2.531,0.503,0.359,0.979,2.491,0.459,0.393,0.678,0.816,1.876,-0.027,0.63,0.44,0.49,0.051,0.97,0.286,0.706,0.263,0.397,0.304,0.51,0.298,0.402
25,CommB,55,0.045,0.153,0.131,0.069,0.074,0.328,0.193,0.451,0.104,0.057,0.159,0.476,-0.003,0.008,0.064,0.015,0.186,0.021,0.003,0.076,0.066,0.046,0.024,0.03,0.074,0.073,0.055,0.059,0.038,0.026,0.061
27,CommB,55,0.381,0.209,0.177,-0.044,0.024,0.878,0.368,0.515,0.22,-0.069,0.351,0.445,-0.07,0.001,0.111,-0.049,1.054,-0.092,-0.008,0.064,-0.068,-0.105,0.029,-0.055,0.389,-0.044,0.015,-0.051,-0.074,0.191,-0.07
31,CommB,55,0.319,1.049,1.35,0.249,1.149,0.293,0.262,0.204,0.278,0.511,0.247,0.619,0.715,0.675,0.322,0.272,0.361,-0.141,0.633,1.124,1.129,-0.008,0.367,0.37,1.143,0.624,0.463,0.702,1.01,0.711,0.646
32,CommB,55,1.784,0.998,1.326,0.755,1.662,1.835,1.457,2.144,0.716,0.674,1.161,2.449,0.581,0.649,1.17,0.429,2.166,-0.021,0.757,1.054,1.208,0.052,1.33,0.963,1.252,0.635,0.723,0.725,0.964,0.673,0.855
44,CommB,55,0.405,0.058,0.075,-0.043,0.057,0.22,0.033,0.397,0.038,-0.047,0.108,0.335,-0.056,-0.011,-0.034,0.026,0.364,-0.02,-0.027,-0.043,-0.059,-0.048,-0.02,-0.056,-0.048,-0.055,-0.071,-0.052,-0.027,-0.059,-0.053
